# Avida tasks execution data
# Sat Jan 26 18:53:22 2013
# First column gives the current update, all further columns give the number
# of times the particular task has been executed this update.
#  1: Update
#  2: LiveOnPatchRes

0 0 
10 12 
20 37 
30 98 
