# Predator Standard Error Data
# Sat Jun  1 18:46:51 2013
#  1: Update
#  2: Fitness
#  3: Gestation Time
#  4: Merit
#  5: Creature Age
#  6: Generation
#  7: Genome Length

0 0 0 28.0226 0 0 0 
50 0 0 35.6201 0 0 0 
100 0.0124882 51.2832 37.5902 1.22786 0.0162096 0 
